Legislation Number,CurrentState,PresidentSigned,WhatIsIt,ConstitutionalVibe,DateIntroduced,DateCommitteConsidered,DateFloorConsidered,DatePassedOneChamber,DatePassedBothChambers,DatePresidentDecide,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Cosponsor,Number of Cosponsors,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Number of Related Bills,Related Bill,Related Bill,Related Bill Relationships Identified by,Related Bill Relationships Identified by,Related Bill Latest Action,Related Bill Latest Action,Latest Summary,Amends Bill,Date Offered,Date Submitted,Amendment Text (Latest)
H.R. 556,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/556,119th Congress (2025-2026),"To prohibit the Secretary of the Interior and the Secretary of Agriculture from prohibiting the use of lead ammunition or tackle on certain Federal land or water under the jurisdiction of the Secretary of the Interior and the Secretary of Agriculture, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/16/2025)",Republican,1/16/2025,"House - Natural Resources, Agriculture","Referred to the Committee on Natural Resources, and in addition to the Committee on Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,"McGuire, John [Rep.-R-VA-5]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Scott, Austin [Rep.-R-GA-8]","De La Cruz, Monica [Rep.-R-TX-15]","Wagner, Ann [Rep.-R-MO-2]","Bean, Aaron [Rep.-R-FL-4]","Tenney, Claudia [Rep.-R-NY-24]","Calvert, Ken [Rep.-R-CA-41]","Zinke, Ryan K. [Rep.-R-MT-1]","Stauber, Pete [Rep.-R-MN-8]","Edwards, Chuck [Rep.-R-NC-11]","Norman, Ralph [Rep.-R-SC-5]","McClintock, Tom [Rep.-R-CA-5]","Guest, Michael [Rep.-R-MS-3]","Thompson, Glenn [Rep.-R-PA-15]","Moolenaar, John R. [Rep.-R-MI-2]","Rogers, Mike D. [Rep.-R-AL-3]","Webster, Daniel [Rep.-R-FL-11]","Finstad, Brad [Rep.-R-MN-1]","Murphy, Gregory F. [Rep.-R-NC-3]","Newhouse, Dan [Rep.-R-WA-4]","Walberg, Tim [Rep.-R-MI-5]","Moore, Barry [Rep.-R-AL-1]","Biggs, Andy [Rep.-R-AZ-5]","Kiggans, Jennifer A. [Rep.-R-VA-2]","Fulcher, Russ [Rep.-R-ID-1]","Bost, Mike [Rep.-R-IL-12]","Hudson, Richard [Rep.-R-NC-9]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Boebert, Lauren [Rep.-R-CO-4]","Cline, Ben [Rep.-R-VA-6]","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]","Tiffany, Thomas P. [Rep.-R-WI-7]","Williams, Roger [Rep.-R-TX-25]","Bergman, Jack [Rep.-R-MI-1]","Balderson, Troy [Rep.-R-OH-12]","Messmer, Mark [Rep.-R-IN-8]","Fischbach, Michelle [Rep.-R-MN-7]","Fitzgerald, Scott [Rep.-R-WI-5]","Letlow, Julia [Rep.-R-LA-5]","Fleischmann, Charles J. ""Chuck"" [Rep.-R-TN-3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 555,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/555,119th Congress (2025-2026),"To amend title 10, United States Code, to include a single comprehensive disability examination as part of the required Department of Defense physical examination for separating members of the Armed Forces, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/16/2025)",Republican,1/16/2025,"House - Armed Services, Veterans' Affairs","Referred to the Committee on Armed Services, and in addition to the Committee on Veterans' Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 554,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/554,119th Congress (2025-2026),"To improve the provision of health care by the Department of Veterans Affairs, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/16/2025)",Republican,1/16/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 553,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/553,119th Congress (2025-2026),"To amend title 38, United States Code, to direct the Secretary of Veterans Affairs to establish a patient outreach system relating to mental health care, and for other purposes.","Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/16/2025)",Republican,1/16/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/16/2025,"Case, Ed [Rep.-D-HI-1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 552,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/552,119th Congress (2025-2026),To direct the Secretary of Veterans Affairs to carry out a pilot program to promote and encourage collaboration between the Department of Veterans Affairs and nonprofit organizations and institutions of higher learning that provide administrative assistance to veterans.,"Wittman, Robert J. [Rep.-R-VA-1] (Introduced 01/16/2025)",Republican,1/16/2025,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,1/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 551,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/551,119th Congress (2025-2026),To amend section 235(b)(2)(C) of the Immigration and Nationality Act to require the implementation of the Migrant Protection Protocols.,"Williams, Roger [Rep.-R-TX-25] (Introduced 01/16/2025)",Republican,1/16/2025,House - Judiciary,Referred to the House Committee on the Judiciary.,1/16/2025,"Gimenez, Carlos A. [Rep.-R-FL-28]","Gill, Brandon [Rep.-R-TX-26]","Hamadeh, Abraham [Rep.-R-AZ-8]","Ellzey, Jake [Rep.-R-TX-6]","Van Duyne, Beth [Rep.-R-TX-24]","Bergman, Jack [Rep.-R-MI-1]","Owens, Burgess [Rep.-R-UT-4]","Tenney, Claudia [Rep.-R-NY-24]","Weber, Randy K. Sr. [Rep.-R-TX-14]","Houchin, Erin [Rep.-R-IN-9]","Self, Keith [Rep.-R-TX-3]","Wied, Tony [Rep.-R-WI-8]","Nehls, Troy E. [Rep.-R-TX-22]","Brecheen, Josh [Rep.-R-OK-2]","Perry, Scott [Rep.-R-PA-10]","Hunt, Wesley [Rep.-R-TX-38]","McCormick, Richard [Rep.-R-GA-7]","Balderson, Troy [Rep.-R-OH-12]","Ogles, Andrew [Rep.-R-TN-5]","Lawler, Michael [Rep.-R-NY-17]","Rogers, Harold [Rep.-R-KY-5]","Yakym, Rudy [Rep.-R-IN-2]","Loudermilk, Barry [Rep.-R-GA-11]","Harris, Andy [Rep.-R-MD-1]","Babin, Brian [Rep.-R-TX-36]","Fallon, Pat [Rep.-R-TX-4]","Foxx, Virginia [Rep.-R-NC-5]","Finstad, Brad [Rep.-R-MN-1]","Perez, Marie Gluesenkamp [Rep.-D-WA-3]","Alford, Mark [Rep.-R-MO-4]","Moore, Barry [Rep.-R-AL-1]","Schmidt, Derek [Rep.-R-KS-2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 550,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/550,119th Congress (2025-2026),"To require the Government Accountability Office to conduct a study regarding insurance coverage for damages from wildfires, and for other purposes.","Waters, Maxine [Rep.-D-CA-43] (Introduced 01/16/2025)",Democratic,1/16/2025,House - Financial Services,Referred to the House Committee on Financial Services.,1/16/2025,"Sherman, Brad [Rep.-D-CA-32]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 549,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/549,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to repeal the clean fuel production credit.,"Van Duyne, Beth [Rep.-R-TX-24] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 548,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/548,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to modernize health savings accounts.,"Van Duyne, Beth [Rep.-R-TX-24] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Crenshaw, Dan [Rep.-R-TX-2]","Meuser, Daniel [Rep.-R-PA-9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,
H.R. 547,,,,,,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/547,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to require an individual to provide a social security number to claim the child tax credit.,"Van Drew, Jefferson [Rep.-R-NJ-2] (Introduced 01/16/2025)",Republican,1/16/2025,House - Ways and Means,Referred to the House Committee on Ways and Means.,1/16/2025,"Crane, Elijah [Rep.-R-AZ-2]","Hageman, Harriet M. [Rep.-R-WY-At Large]","Biggs, Andy [Rep.-R-AZ-5]","Nehls, Troy E. [Rep.-R-TX-22]","Sessions, Pete [Rep.-R-TX-17]","Begich, Nicholas [Rep.-R-AK-At Large]","Rose, John W. [Rep.-R-TN-6]","Ogles, Andrew [Rep.-R-TN-5]","Issa, Darrell [Rep.-R-CA-48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,
